trending_ym,Autos & Vehicles,Comedy,Education,Entertainment,Film & Animation,Gaming,Howto & Style,Music,News & Politics,Nonprofits & Activism,People & Blogs,Pets & Animals,Science & Technology,Sports,Travel & Events,confirmed
20-08,0.019664967225054626,0.054260742898761836,0.026948288419519302,0.27858703568827387,0.0549890750182083,0.03932993445010925,0.014930808448652586,0.11798980335032774,0.19118718135469775,0.005462490895848507,0.08302986161689731,0.03459577567370721,0.01529497450837582,0.05935906773488711,0.004369992716678805,266.7428987618354
20-09,0.015381083562901745,0.047061524334251606,0.020431588613406795,0.2876492194674013,0.06198347107438017,0.03443526170798898,0.018135904499540865,0.10422405876951331,0.19421487603305784,0.001147842056932966,0.08539944903581267,0.015151515151515152,0.027548209366391185,0.08149678604224059,0.00573921028466483,127.30693296602388
20-10,0.0155,0.042666666666666665,0.027666666666666666,0.32116666666666666,0.04683333333333333,0.03233333333333333,0.035833333333333335,0.14033333333333334,0.031166666666666665,0.0011666666666666668,0.12516666666666668,0.020833333333333332,0.04833333333333333,0.10366666666666667,0.007333333333333333,86.56666666666666
20-11,0.01929886685552408,0.05577195467422096,0.025672804532577902,0.3268413597733711,0.04337818696883853,0.041607648725212464,0.0426699716713881,0.12659348441926346,0.037004249291784704,0.002124645892351275,0.1503186968838527,0.025672804532577902,0.020538243626062325,0.08055949008498584,0.0019475920679886685,258.4371458923513
20-12,0.01689655172413793,0.0496551724137931,0.037586206896551726,0.388448275862069,0.03810344827586207,0.03948275862068965,0.03896551724137931,0.10103448275862069,0.03206896551724138,0.0032758620689655174,0.1396551724137931,0.020689655172413793,0.005,0.07706896551724138,0.01206896551724138,856.7586206896551
21-01,0.017274782047142397,0.07878592185986438,0.03842428156280271,0.3361317403939296,0.033580884727155313,0.03245075879883758,0.047949628672909264,0.07474975783015822,0.03826283500161447,0.004843396835647401,0.16548272521795285,0.03196641911527284,0.032612205360025834,0.05715208266063933,0.010332579916047788,563.3070713593801
21-02,0.019611576542269613,0.0773038842345773,0.030083777608530083,0.3518659558263519,0.03446306169078446,0.029512566641279513,0.049695354150799696,0.09444021325209444,0.05693069306930693,0.0017136329017517135,0.1250952018278751,0.018088347296268088,0.012376237623762377,0.08358720487433359,0.015232292460015232,413.9784843869002
21-03,0.0153125,0.080625,0.01671875,0.38296875,0.02703125,0.024375,0.02921875,0.131875,0.0453125,0.0,0.135,0.01953125,0.00484375,0.08203125,0.00515625,429.96875
21-04,0.014850659102286,0.08826964792257634,0.025696646087101618,0.39195728349741366,0.026364091440013348,0.017019856499249125,0.03937927582179209,0.08710161855498082,0.05306190555648256,0.0,0.1433338895377941,0.016352411146337394,0.014850659102286,0.07141665276155515,0.01034540297013182,630.8458201234774
21-05,0.006538461538461538,0.06884615384615385,0.025961538461538463,0.3694230769230769,0.03365384615384615,0.02846153846153846,0.047692307692307694,0.07903846153846154,0.10134615384615385,0.000576923076923077,0.15269230769230768,0.012307692307692308,0.006730769230769231,0.05615384615384615,0.010576923076923078,586.9615384615385
21-06,0.011,0.056666666666666664,0.029444444444444443,0.35488888888888886,0.02388888888888889,0.03966666666666667,0.03866666666666667,0.10555555555555556,0.048,0.0,0.16,0.03722222222222222,0.012666666666666666,0.07755555555555556,0.0047777777777777775,552.0222222222222
21-07,0.014516129032258065,0.056935483870967744,0.014032258064516129,0.3564516129032258,0.030806451612903227,0.035806451612903224,0.051774193548387096,0.08564516129032258,0.044838709677419354,0.0,0.16709677419354838,0.037096774193548385,0.01661290322580645,0.08209677419354838,0.006290322580645161,1334.6451612903227
21-08,0.008225806451612904,0.044516129032258066,0.01129032258064516,0.3153225806451613,0.031612903225806455,0.03564516129032258,0.04209677419354839,0.09258064516129032,0.065,0.0,0.16419354838709677,0.017096774193548388,0.04516129032258064,0.1135483870967742,0.013709677419354839,1712.1612903225807
21-09,0.015,0.054,0.0155,0.3436666666666667,0.026166666666666668,0.0495,0.04516666666666667,0.1145,0.039,0.0033333333333333335,0.172,0.0195,0.029166666666666667,0.058833333333333335,0.014666666666666666,1995.4333333333334
21-10,0.012096774193548387,0.06370967741935483,0.014193548387096775,0.3588709677419355,0.03596774193548387,0.03258064516129032,0.048709677419354835,0.12370967741935483,0.027741935483870966,0.0024193548387096775,0.15306451612903227,0.014838709677419355,0.02064516129032258,0.07241935483870968,0.01903225806451613,1723.3225806451612
21-11,0.02,0.05,0.0125,0.339375,0.0325,0.03125,0.05875,0.11125,0.03,0.0025,0.198125,0.01625,0.016875,0.056875,0.02375,2124.625
All,0.014517564112671615,0.0613589521224476,0.023730417056166866,0.3478358805707914,0.034880446902206354,0.03409206095349649,0.04086091745599117,0.10523826149635652,0.05846444942504139,0.0015655092410095846,0.1464257959882418,0.022942031107457003,0.020790863733120092,0.07753212672740993,0.009764723107592157,
